frame,t_sec,total_joints,nose_conf,nose_x,nose_y,lSho_conf,lSho_x,lSho_y,rSho_conf,rSho_x,rSho_y,lElb_conf,lElb_x,lElb_y,rElb_conf,rElb_x,rElb_y,lWri_conf,lWri_x,lWri_y,rWri_conf,rWri_x,rWri_y,lHip_conf,lHip_x,lHip_y,rHip_conf,rHip_x,rHip_y
71,2.961,10,0.760,0.5579,0.1803,0.000,0.0000,1.0000,0.156,0.5307,0.0550,0.726,0.7081,0.3252,0.674,0.3409,0.2122,0.644,0.7259,0.6176,0.741,0.3316,0.4317,0.000,0.0000,1.0000,0.000,0.0000,1.0000
72,3.003,8,0.849,0.5578,0.1955,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.659,0.7113,0.3360,0.720,0.3411,0.2142,0.631,0.7263,0.6216,0.697,0.3326,0.4336,0.000,0.0000,1.0000,0.000,0.0000,1.0000
73,3.045,8,0.775,0.5629,0.2022,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.654,0.7140,0.3488,0.727,0.3419,0.2162,0.654,0.7265,0.6292,0.670,0.3332,0.4372,0.000,0.0000,1.0000,0.000,0.0000,1.0000
74,3.086,8,0.785,0.5626,0.2188,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.656,0.7146,0.3495,0.728,0.3423,0.2168,0.657,0.7271,0.6344,0.657,0.3338,0.4404,0.000,0.0000,1.0000,0.000,0.0000,1.0000
75,3.128,10,0.741,0.5645,0.2306,0.116,0.6508,0.0513,0.000,0.0000,1.0000,0.676,0.7172,0.3507,0.769,0.3439,0.2154,0.639,0.7275,0.6353,0.623,0.3357,0.4428,0.000,0.0000,1.0000,0.000,0.0000,1.0000
76,3.170,11,0.803,0.5650,0.2443,0.177,0.6496,0.0484,0.121,0.4874,0.0310,0.696,0.7190,0.3553,0.781,0.3446,0.2174,0.653,0.7276,0.6444,0.586,0.3378,0.4502,0.000,0.0000,1.0000,0.000,0.0000,1.0000
77,3.212,11,0.820,0.5670,0.2553,0.226,0.6466,0.0541,0.175,0.4880,0.0343,0.651,0.7210,0.3465,0.771,0.3451,0.2193,0.640,0.7280,0.6435,0.608,0.3383,0.4510,0.000,0.0000,1.0000,0.000,0.0000,1.0000
78,3.253,11,0.781,0.5684,0.2649,0.335,0.6451,0.0704,0.211,0.4909,0.0414,0.619,0.7237,0.3456,0.780,0.3455,0.2215,0.645,0.7279,0.6457,0.619,0.3384,0.4558,0.000,0.0000,1.0000,0.000,0.0000,1.0000
79,3.295,11,0.796,0.5662,0.2811,0.366,0.6477,0.0848,0.469,0.4851,0.0499,0.651,0.7262,0.3549,0.766,0.3454,0.2248,0.661,0.7285,0.6470,0.616,0.3389,0.4571,0.000,0.0000,1.0000,0.000,0.0000,1.0000
80,3.337,12,0.745,0.5719,0.2890,0.352,0.6549,0.1062,0.490,0.4863,0.0589,0.696,0.7288,0.3628,0.722,0.3479,0.2284,0.677,0.7297,0.6492,0.672,0.3402,0.4586,0.000,0.0000,1.0000,0.000,0.0000,1.0000
